"","LAKE_NAME","SURVEY_ID","DOWLKNUM","N"
"1","Long","01008900_2003_1",1008900,182
"2","Dam","01009600_2002_1",1009600,152
"3","Hill","01014200_2016_1",1014200,466
"4","Big Pine","01015700_2013_1",1015700,327
"5","Farm Island","01015900_2009_1",1015900,291
"6","Round","01020400_2013_1",1020400,395
"7","George","02009100_2013_1",2009100,271
"8","Toad","03010700_2004_1",3010700,464
"9","Toad","03010700_2005_1",3010700,434
"10","Toad","03010700_2006_1",3010700,426
"11","Little Rock","05001300_2005_1",5001300,124
"12","Artichoke","06000200_2011_1",6000200,129
"13","Artichoke","06000200_2018_1",6000200,129
"14","Madison","07004400_2014_1",7004400,731
"15","Eagle","09005700_2005_1",9005700,296
"16","Tamarack","09006700_2005_1",9006700,207
"17","White Oak","11001600_2001_1",11001600,75
"18","Roosevelt","11004300_2008_1",11004300,1073
"19","Lawrence","11005300_2008_1",11005300,382
"20","Washburn","11005900_2006_1",11005900,848
"21","Washburn","11005900_2009_1",11005900,881
"22","Thunder","11006200_2008_1",11006200,1190
"23","Long","11014200_2007_1",11014200,1536
"24","Boy","11014300_2008_1",11014300,941
"25","Winnibigoshish","11014700_2017_1",11014700,806
"26","Little Boy","11016700_2007_1",11016700,612
"27","Wabedo","11017100_2007_1",11017100,548
"28","Craig","11018600_2017_1",11018600,108
"29","Mule","11020000_2010_1",11020000,540
"30","Woman","11020100_2006_1",11020100,2214
"31","Leech Sucker Bay","11020300_2002_1",11020300,781
"32","Leech Agency Bay","11020300_2002_2",11020300,397
"33","Leech Whipholt Bay","11020300_2003_1",11020300,1685
"34","Leech Steamboat Bay","11020300_2003_2",11020300,513
"35","Leech Kabekona Bay","11020300_2003_3",11020300,175
"36","Leech Portage Bay","11020300_2004_1",11020300,1712
"37","Leech Walker South","11020300_2005_1",11020300,452
"38","Leech Walker North","11020300_2005_2",11020300,298
"39","Leech Walker Center","11020300_2005_3",11020300,522
"40","Leech Traders Bay","11020300_2005_4",11020300,1242
"41","Leech Submarine Island","11020300_2005_5",11020300,551
"42","Leech Boy Bay","11020300_2005_6",11020300,633
"43","Leech Headquarters Bay","11020300_2005_7",11020300,232
"44","Leech Shingobee Bay","11020300_2005_8",11020300,425
"45","Upper Gull","11021800_2008_1",11021800,184
"46","Ray","11022000_2008_1",11022000,113
"47","Spider","11022100_2008_1",11022100,45
"48","Deep Portage","11023700_2008_1",11023700,147
"49","Ada","11025000_2007_1",11025000,510
"50","Little Sand","11027500_2006_1",11027500,107
"51","Sand","11027900_2006_1",11027900,251
"52","Sand","11027900_2018_1",11027900,293
"53","Sylvan","11030400_2008_1",11030400,430
"54","Norway","11030700_2008_1",11030700,321
"55","Norway/Pine River","11030700_2008_1",11030700,75
"56","Portage","11030800_2008_1",11030800,864
"57","Pleasant","11038300_2007_1",11038300,541
"58","Pine Mountain","11041100_2007_1",11041100,916
"59","Birch","11041200_2006_1",11041200,1052
"60","Ten Mile","11041300_2006_1",11041300,1629
"61","Ten Mile","11041300_2018_1",11041300,1048
"62","Thirteen","11048800_2004_1",11048800,302
"63","Steamboat","11050400_2008_1",11050400,673
"64","Louise","11057300_2007_1",11057300,94
"65","South Center","13002700_2018_1",13002700,483
"66","Elk","15001000_2004_1",15001000,234
"67","Elk","15001000_2014_1",15001000,370
"68","Elk","15001000_2016_1",15001000,440
"69","Elk","15001000_2018_1",15001000,336
"70","Trout","16004900_2014_1",16004900,258
"71","Tait","16038400_2018_1",16038400,198
"72","Camp","18001800_2014_1",18001800,484
"73","Borden","18002000_2013_1",18002000,651
"74","Turtle","18004700_2010_1",18004700,170
"75","Partridge","18004800_2000_1",18004800,166
"76","Partridge","18004800_2010_1",18004800,250
"77","Platte","18008800_2003_1",18008800,296
"78","Serpent","18009000_2009_1",18009000,147
"79","Grave","18011000_2002_1",18011000,66
"80","Crow Wing","18015500_2007_1",18015500,120
"81","Ruth","18021200_2001_1",18021200,141
"82","Ruth","18021200_2003_1",18021200,140
"83","Ruth","18021200_2005_1",18021200,355
"84","Ruth","18021200_2007_1",18021200,328
"85","Ruth","18021200_2009_1",18021200,437
"86","Ruth","18021200_2012_1",18021200,360
"87","Ruth","18021200_2017_1",18021200,379
"88","Upper Mission","18024200_2005_1",18024200,574
"89","Upper Mission","18024200_2012_1",18024200,376
"90","Lower Mission","18024300_2005_1",18024300,295
"91","Lower Mission","18024300_2011_1",18024300,294
"92","Lower Mission","18024300_2012_1",18024300,257
"93","Little Pine","18026600_2009_1",18026600,41
"94","Little Pine","18026600_2010_1",18026600,195
"95","Island-Loon","18026900_2011_1",18026900,156
"96","Daggett","18027100_2010_1",18027100,154
"97","Edward","18030500_2004_1",18030500,762
"98","Pelican","18030800_2010_1",18030800,1021
"99","Whitefish","18031000_2011_1",18031000,1567
"100","Rush-Hen","18031100_2010_1",18031100,566
"101","Cross","18031200_2010_1",18031200,1002
"102","Big Trout","18031500_2010_1",18031500,446
"103","Ossawinnamakee","18035200_2005_1",18035200,509
"104","Ossawinnamakee","18035200_2009_1",18035200,582
"105","Ossawinamakee","18035200_2017_1",18035200,225
"106","Ossawinnamakee","18035200_2017_1",18035200,311
"107","Pig","18035400_2011_1",18035400,89
"108","Bertha","18035500_2011_1",18035500,156
"109","Clamshell","18035600_2011_1",18035600,196
"110","Arrowhead","18036600_2011_1",18036600,284
"111","Round","18037300_2006_1",18037300,238
"112","Clark","18037400_2002_1",18037400,122
"113","Upper Cullen","18037600_2007_1",18037600,314
"114","Middle Cullen","18037700_2007_1",18037700,176
"115","Lower Hay","18037800_2011_1",18037800,208
"116","Red Sand","18038600_2001_1",18038600,97
"117","Red Sand","18038600_2016_1",18038600,328
"118","Red Sand","18038600_2018_1",18038600,318
"119","Edna","18039600_2017_1",18039600,130
"120","Fawn","18039700_2017_1",18039700,58
"121","Roy","18039800_2008_1",18039800,242
"122","Nisswa","18039900_2008_1",18039900,209
"123","Lower Cullen","18040300_2007_1",18040300,288
"124","Lower Cullen","18040300_2009_1",18040300,127
"125","Lower Cullen","18040300_2010_1",18040300,282
"126","Lower Cullen","18040300_2011_1",18040300,76
"127","Lower Cullen","18040300_2012_1",18040300,355
"128","Carlos","21005700_2015_1",21005700,1115
"129","Carlos","21005700_2018_1",21005700,794
"130","North Union","21009500_2004_1",21009500,231
"131","North Union","21009500_2018_1",21009500,230
"132","Stony","21010100_2004_1",21010100,183
"133","Stony","21010100_2018_1",21010100,171
"134","Lottie","21010500_2004_1",21010500,121
"135","Lottie","21010500_2018_1",21010500,121
"136","Snelling","27000100_2005_1",27000100,161
"137","Snelling","27000100_2012_1",27000100,161
"138","Grace","29007100_2006_1",29007100,553
"139","Kabekona","29007500_2005_1",29007500,368
"140","Upper Twin","29015700_2005_1",29015700,177
"141","Portage","29025000_2004_1",29025000,306
"142","Portage","29025000_2005_1",29025000,306
"143","Portage","29025000_2006_1",29025000,303
"144","Portage","29025000_2014_1",29025000,306
"145","Portage","29025000_2017_1",29025000,305
"146","Long","30007200_2013_1",30007200,226
"147","Blue","30010700_2013_1",30010700,188
"148","Green","30013600_2005_1",30013600,342
"149","North Twin","31019000_2004_1",31019000,184
"150","South Twin","31019100_2004_1",31019100,136
"151","Trout","31021600_2005_1",31021600,918
"152","Trout","31021600_2016_1",31021600,1314
"153","Sugar","31055400_2007_1",31055400,356
"154","Bass","31057600_2012_1",31057600,1436
"155","Turtle","31072500_2013_1",31072500,1104
"156","Portage","31082400_2012_1",31082400,111
"157","Sand","31082600_2012_1",31082600,825
"158","Bird's Eye","31083400_2012_1",31083400,126
"159","Little Sand","31085300_2012_1",31085300,337
"160","Dixon","31092100_2004_1",31092100,359
"161","Quamba","33001500_2003_1",33001500,91
"162","Carrie","34003200_2016_1",34003200,141
"163","Green","34007900_2009_1",34007900,295
"164","Green","34007900_2016_1",34007900,317
"165","Florida","34021700_2009_1",34021700,308
"166","Florida","34021700_2016_1",34021700,228
"167","Games","34022400_2004_1",34022400,129
"168","Games","34022400_2006_1",34022400,103
"169","Norway","34025100_2004_1",34025100,407
"170","Norway","34025100_2006_1",34025100,354
"171","Dumbell","38039300_2004_1",38039300,150
"172","Lax","38040600_2004_1",38040600,164
"173","Roemhildts","40003900_2004_1",40003900,122
"174","Roemhildts","40003900_2011_1",40003900,102
"175","Fish","40005100_2004_1",40005100,94
"176","Fish","40005100_2011_1",40005100,102
"177","German","40006300_2004_1",40006300,253
