"","LAKE_NAME","SURVEY_ID","DOWLKNUM","N.x","N.y"
"1","Ada","11025000_2007_1",11025000,518,510
"2","Alexander","49007900_2004_1",49007900,531,530
"3","Alexander","49007900_2007_1",49007900,NA,457
"4","Arrowhead","18036600_2011_1",18036600,285,284
"5","Artichoke","06000200_2011_1",6000200,NA,129
"6","Artichoke","06000200_2018_1",6000200,NA,129
"7","Ban","69074200_2004_1",69074200,320,319
"8","Bass","31057600_2012_1",31057600,1437,1436
"9","Bass","86023400_2005_1",86023400,NA,181
"10","Bear Head","69025400_2014_1",69025400,NA,394
"11","Belle","47004901_2016_1",47004901,NA,521
"12","Bertha","18035500_2011_1",18035500,157,156
"13","Big","71008200_2004_1",71008200,175,174
"14","Big","71008200_2010_1",71008200,NA,164
"15","Big Pine","01015700_2013_1",1015700,380,327
"16","Big Swan","77002300_2004_1",77002300,300,299
"17","Big Trout","18031500_2010_1",18031500,447,446
"18","Birch","11041200_2006_1",11041200,1053,1052
"19","Bird's Eye","31083400_2012_1",31083400,127,126
"20","Blue","30010700_2013_1",30010700,NA,188
"21","Blueberry","80003400_2005_1",80003400,381,380
"22","Borden","18002000_2013_1",18002000,750,651
"23","Boy","11014300_2008_1",11014300,942,941
"24","Camp","18001800_2014_1",18001800,NA,484
"25","Carlos","21005700_2015_1",21005700,NA,1115
"26","Carlos","21005700_2018_1",21005700,NA,794
"27","Carrie","34003200_2016_1",34003200,NA,141
"28","Cedar","49014000_2016_1",49014000,NA,177
"29","Cedar","66005200_2001_1",66005200,NA,131
"30","Cedar","66005200_2002_1",66005200,NA,232
"31","Clamshell","18035600_2011_1",18035600,197,196
"32","Clark","18037400_2002_1",18037400,NA,122
"33","Craig","11018600_2017_1",11018600,NA,108
"34","Crookneck","49013300_2005_2",49013300,NA,286
"35","Cross","18031200_2010_1",18031200,1003,1002
"36","Crow Wing","18015500_2007_1",18015500,NA,120
"37","Daggett","18027100_2010_1",18027100,155,154
"38","Dam","01009600_2002_1",1009600,159,152
"39","Deep Portage","11023700_2008_1",11023700,148,147
"40","Dixon","31092100_2004_1",31092100,360,359
"41","Dumbell","38039300_2004_1",38039300,151,150
"42","Eagle","09005700_2005_1",9005700,297,296
"43","Echo","69061500_2018_1",69061500,NA,386
"44","Edna","18039600_2017_1",18039600,NA,130
"45","Edward","18030500_2004_1",18030500,763,762
"46","Elephant","69081000_2018_1",69081000,NA,260
"47","Elk","15001000_2004_1",15001000,NA,234
"48","Elk","15001000_2014_1",15001000,NA,370
"49","Elk","15001000_2016_1",15001000,NA,440
"50","Elk","15001000_2018_1",15001000,NA,336
"51","Farm Island","01015900_2009_1",1015900,NA,291
"52","Fawn","18039700_2017_1",18039700,NA,58
"53","Ferrell","49005800_2017_1",49005800,NA,83
"54","Fish","40005100_2004_1",40005100,95,94
"55","Fish","40005100_2011_1",40005100,103,102
"56","Fish","56076800_2004_1",56076800,NA,271
"57","Florida","34021700_2009_1",34021700,309,308
"58","Florida","34021700_2016_1",34021700,NA,228
"59","Fourteen","69079300_2012_1",69079300,241,241
"60","Fremont","71001600_2002_1",71001600,195,194
"61","Fremont","71001600_2003_1",71001600,194,194
"62","Games","34022400_2004_1",34022400,130,129
"63","Games","34022400_2006_1",34022400,104,103
"64","George","02009100_2013_1",2009100,299,271
"65","German","40006300_2004_1",40006300,254,253
"66","Grace","29007100_2006_1",29007100,554,553
"67","Grand","73005500_2010_1",73005500,218,173
"68","Grave","18011000_2002_1",18011000,67,66
"69","Green","30013600_2005_1",30013600,343,342
"70","Green","34007900_2009_1",34007900,296,295
"71","Green","34007900_2016_1",34007900,NA,317
"72","Hill","01014200_2016_1",1014200,NA,466
"73","Island-Loon","18026900_2011_1",18026900,157,156
"74","Julia","71014500_2003_1",71014500,NA,106
"75","Julia","71014500_2005_1",71014500,NA,103
"76","Kabekona","29007500_2005_1",29007500,368,368
"77","Koronis","73020002_2017_1",73020002,NA,367
"78","Koronis","73020002_2018_2",73020000,NA,216
"79","Koronis","73020002_2018_2",73020002,NA,160
"80","Kreigle","73009700_2000_1",73009700,NA,226
"81","Lawrence","11005300_2008_1",11005300,382,382
"82","Lax","38040600_2004_1",38040600,NA,164
"83","Leech Agency Bay","11020300_2002_2",11020300,397,397
"84","Leech Boy Bay","11020300_2005_6",11020300,634,633
"85","Leech Headquarters Bay","11020300_2005_7",11020300,232,232
"86","Leech Kabekona Bay","11020300_2003_3",11020300,175,175
"87","Leech Portage Bay","11020300_2004_1",11020300,1713,1712
"88","Leech Shingobee Bay","11020300_2005_8",11020300,425,425
"89","Leech Steamboat Bay","11020300_2003_2",11020300,513,513
"90","Leech Submarine Island","11020300_2005_5",11020300,551,551
"91","Leech Sucker Bay","11020300_2002_1",11020300,781,781
"92","Leech Traders Bay","11020300_2005_4",11020300,1242,1242
"93","Leech Walker Center","11020300_2005_3",11020300,522,522
"94","Leech Walker North","11020300_2005_2",11020300,299,298
"95","Leech Walker South","11020300_2005_1",11020300,452,452
"96","Leech Whipholt Bay","11020300_2003_1",11020300,2100,1685
"97","Little Birch","77008900_2004_1",77008900,234,233
"98","Little Boy","11016700_2007_1",11016700,613,612
"99","Little Mary","86013900_2005_1",86013900,203,202
"100","Little Mary","86013900_2006_1",86013900,203,202
"101","Little Pine","18026600_2009_1",18026600,NA,41
"102","Little Pine","18026600_2010_1",18026600,196,195
"103","Little Rock","05001300_2005_1",5001300,347,124
"104","Little Sand","11027500_2006_1",11027500,108,107
"105","Little Sand","31085300_2012_1",31085300,338,337
"106","Little Waverly","86010600_2009_1",86010600,137,136
"107","Long","01008900_2003_1",1008900,NA,182
"108","Long","11014200_2007_1",11014200,1537,1536
"109","Long","30007200_2013_1",30007200,NA,226
"110","Long","47002600_2004_1",47002600,119,118
"111","Long","47002600_2010_1",47002600,103,102
"112","Long","47002600_2011_1",47002600,106,106
"113","Long","47002600_2012_1",47002600,NA,119
"114","Long","47002600_2014_1",47002600,NA,118
"115","Long","49001500_2011_1",49001500,NA,206
"116","Lottie","21010500_2004_1",21010500,122,121
"117","Lottie","21010500_2018_1",21010500,NA,121
"118","Louise","11057300_2007_1",11057300,95,94
"119","Lower Cullen","18040300_2007_1",18040300,289,288
"120","Lower Cullen","18040300_2009_1",18040300,NA,127
"121","Lower Cullen","18040300_2010_1",18040300,NA,282
"122","Lower Cullen","18040300_2011_1",18040300,NA,76
"123","Lower Cullen","18040300_2012_1",18040300,NA,355
"124","Lower Hay","18037800_2011_1",18037800,209,208
"125","Lower Mission","18024300_2005_1",18024300,295,295
"126","Lower Mission","18024300_2011_1",18024300,NA,294
"127","Lower Mission","18024300_2012_1",18024300,NA,257
"128","Lower Twin","80003000_2005_1",80003000,206,206
"129","Madison","07004400_2014_1",7004400,NA,731
"130","Maple","86013401_2015_1",86013401,NA,420
"131","Middle Cullen","18037700_2007_1",18037700,177,176
"132","Mille Lacs Cove Bay","48000200_2009_1",48000200,NA,559
